m,n,k,aten_tflops,triton_tflops,flydsl_tflops
8,4096,4096,22.8,20.6,22.9
16,4096,4096,43.6,39.2,45.9
32,4096,4096,72.6,69.3,85.2
64,4096,4096,112.7,120.3,160.3
128,4096,4096,188.0,181.2,246.1
256,4096,4096,364.0,310.1,434.9
512,4096,4096,539.4,509.8,598.6
1024,4096,4096,747.8,782.7,842.2
2048,4096,4096,706.3,953.1,1126.5
4096,4096,4096,1379.2,1161.8,1384.1
4096,4096,8192,1514.9,1238.5,1491.5
8192,8192,8192,1571.2,1240.6,1540.9
32,14336,4096,148.0,141.5,166.7
16,28672,4096,77.8,100.6,101.6
4096,256,4096,385.2,378.4,415.0
