suite,case,flydsl_tflops,triton_tflops,aten_tflops
standard,g8x512x2048x8192,1016.4,737.9,530.7
standard,g8x1024x8192x8192,1189.0,849.0,1142.7
standard,g8x512x4096x4096,1072.7,785.2,543.8
standard,g16x512x4096x4096,1087.5,769.7,584.0
standard,g4x2048x8192x8192,1215.0,898.3,1362.6
standard,g2x2048x4096x4096,1164.6,882.2,759.1
standard,g8x256x8192x8192,1032.4,778.1,585.0
standard,g4x1024x2048x2048,897.8,737.6,321.6
standard,g8x512x8192x2048,913.2,769.7,426.6
standard,g4x512x4096x4096,865.1,762.8,489.6
standard,g16x256x2048x2048,566.5,536.6,127.4
standard,g8x128x4096x4096,398.3,392.1,150.5
standard,g16x128x4096x4096,496.8,536.1,166.3
standard,g32x64x2048x2048,185.2,189.2,32.6
kn_variants,K4096 x N14336 (MoE up),1042.3,795.5,832.8
kn_variants,K4096 x N28672,1118.2,796.8,1119.6
kn_variants,K4096 x N256 (small N),242.8,302.5,54.0
kn_variants,K8192 x N8192,1139.3,821.4,660.8
kn_variants,K14336 x N4096 (MoE down),1135.1,812.3,699.7
ragged_m,"[1024,512,256,128,2048,64,512,1024]",866.5,778.9,558.6
ragged_m,"[0,1024,0,512,2048,128,0,896]",733.7,671.3,611.8
ragged_m,"[100,333,777,1,500,63,129,250]",638.5,472.4,263.9
ragged_m,"[1,3,7,15,31,63,127,255]",165.1,160.0,74.9
ragged_m,"[813,1200,47,999,512,256,88,1600]",847.0,726.2,535.5
