format,m,n,k,aten_tflops,flydsl_tflops
mxfp8,32,4096,4096,31.3,69.8
mxfp8,32,14336,4096,94.7,192.7
mxfp8,32,28672,4096,180.8,271.1
mxfp8,64,4096,4096,70.4,135.7
mxfp8,128,4096,4096,138.5,240.7
mxfp8,256,4096,4096,293.3,412.2
mxfp8,512,4096,4096,459.3,634.6
mxfp8,1024,4096,4096,729.3,1057.5
mxfp8,2048,4096,4096,1129.5,1559.7
mxfp8,4096,256,4096,298.8,406.1
mxfp8,4096,4096,256,304.0,400.6
mxfp8,4096,4096,512,520.4,681.7
mxfp8,4096,4096,1024,810.7,1111.2
mxfp8,4096,4096,2048,1111.4,1637.7
mxfp8,4096,4096,4096,1321.9,2114.7
mxfp8,4096,4096,8192,1505.1,2484.4
mxfp8,8192,8192,8192,1369.7,2804.0
mxfp4,32,4096,4096,39.4,99.6
mxfp4,32,14336,4096,111.3,329.6
mxfp4,32,28672,4096,204.6,487.7
mxfp4,64,4096,4096,103.1,190.2
mxfp4,128,4096,4096,187.4,406.0
mxfp4,256,4096,4096,468.1,698.0
mxfp4,512,4096,4096,677.7,1127.5
mxfp4,1024,4096,4096,1075.6,1662.4
mxfp4,2048,4096,4096,1540.5,2281.6
mxfp4,4096,256,4096,505.8,691.8
mxfp4,4096,4096,256,343.4,566.6
mxfp4,4096,4096,512,607.4,947.0
mxfp4,4096,4096,1024,1043.2,1499.2
mxfp4,4096,4096,2048,1613.7,2266.2
mxfp4,4096,4096,4096,2244.2,3030.1
mxfp4,4096,4096,8192,2809.4,3679.7
mxfp4,8192,8192,8192,3110.0,4155.1
