dtype,m,n,aten_us,flydsl_us
fp16,8192,4096,26.7,22.9
fp16,4096,8192,30.1,22.6
fp16,2048,16384,31.0,23.1
fp16,2048,65536,173.2,112.3
fp16,2048,114688,303.2,258.8
fp16,8192,4097,96.7,26.4
fp16,4096,8193,82.7,26.0
fp16,2048,16385,91.9,25.9
bf16,8192,4096,26.7,22.2
bf16,2048,16384,30.9,22.4
bf16,8192,4097,96.4,26.4
bf16,2048,16385,73.7,25.8
fp32,8192,4096,56.3,40.1
fp32,4096,8192,58.5,40.7
fp32,2048,16384,57.7,44.1
fp32,2048,32768,154.1,105.5
fp32,2048,65536,321.8,210.3
fp32,2048,114688,564.7,483.8
fp32,8192,4097,91.8,41.6
fp32,4096,8193,82.5,42.3
fp32,2048,16385,78.0,43.9
fp32,2048,32769,212.7,105.0
