family,k_band,m,n,k,aten_nondeterministic_us,flydsl_nondeterministic_us,aten_deterministic_us,flydsl_deterministic_us
register,"2,4,8,16",256,1024,8,33.5,18.6,33.6,26.7
register,"2,4,8,16",256,8192,16,55.9,28.0,57.4,31.5
register,"2,4,8,16",4096,1024,8,72.1,18.6,72.8,26.4
register,"2,4,8,16",4096,2048,2,102.6,18.6,103.1,26.6
register,"2,4,8,16",4096,4096,8,147.5,27.0,147.1,30.9
register,"2,4,8,16",4096,8192,16,240.3,67.3,240.2,71.3
register,"2,4,8,16",16384,1024,2,224.4,18.6,224.3,26.5
register,"2,4,8,16",16384,1024,8,225.4,40.8,224.9,43.5
register,"2,4,8,16",16384,4096,8,536.9,89.0,541.4,90.6
register,"2,4,8,16",16384,8192,2,1070.2,96.2,1069.4,100.2
radix,64-256,256,8192,64,56.8,51.2,57.7,58.5
radix,64-256,2048,8192,64,207.6,118.0,207.1,131.3
radix,64-256,4096,8192,64,242.5,188.0,242.4,210.4
radix,64-256,256,32768,256,124.4,96.5,124.4,118.6
radix,64-256,2048,32768,256,725.7,283.3,719.3,343.1
radix,64-256,4096,32768,256,1536.3,539.7,1535.1,672.7
radix,257-383,256,16384,257,86.6,60.9,86.9,70.4
radix,257-383,2048,16384,257,378.4,210.5,378.5,237.8
radix,257-383,4096,16384,257,536.5,400.5,535.1,451.8
radix,257-383,256,32768,350,125.3,76.9,125.1,91.6
radix,257-383,2048,32768,350,734.3,304.6,722.9,349.2
radix,257-383,4096,32768,350,1538.8,579.1,1536.8,657.5
radix,384-831,256,32768,390,125.4,77.8,125.3,91.8
radix,384-831,2048,32768,390,722.6,306.1,721.8,350.5
radix,384-831,4096,32768,390,1542.9,581.0,1541.4,660.2
radix,384-831,256,131072,768,315.5,162.4,315.3,193.3
radix,384-831,2048,131072,768,2256.9,1284.6,2255.7,1503.3
radix,384-831,4096,131072,768,4374.7,2558.1,4341.5,2993.0
radix,832-1024,256,32768,833,126.3,73.8,126.2,85.0
radix,832-1024,2048,32768,833,735.3,565.4,733.5,632.3
radix,832-1024,4096,32768,833,1550.8,1129.3,1550.4,1256.4
radix,832-1024,256,262144,1024,599.6,280.6,606.2,341.6
radix,832-1024,2048,262144,1024,3957.5,2221.5,3924.0,2738.2
