precision,model,concurrency,whole_request_speedup_pct
bf16,Qwen3-32B,8,0.1
bf16,Qwen3-32B,16,-0.9
bf16,Qwen3-32B,32,1.4
bf16,Qwen3-32B,64,5.5
bf16,Qwen3-32B,128,1.9
bf16,Qwen3-32B,256,2.2
bf16,Llama-3.1-8B-Instruct,8,11.2
bf16,Llama-3.1-8B-Instruct,16,12.9
bf16,Llama-3.1-8B-Instruct,32,8.5
bf16,Llama-3.1-8B-Instruct,64,7.7
bf16,Llama-3.1-8B-Instruct,128,-0.6
bf16,Llama-3.1-8B-Instruct,256,-1.3
bf16,Llama-3.3-70B-Instruct,8,1.0
bf16,Llama-3.3-70B-Instruct,16,0.4
bf16,Llama-3.3-70B-Instruct,32,0.4
bf16,Llama-3.3-70B-Instruct,64,0.5
bf16,Llama-3.3-70B-Instruct,128,1.1
bf16,Llama-3.3-70B-Instruct,256,0.3
mxfp8,Qwen3-32B,8,102.7
mxfp8,Qwen3-32B,16,95.8
mxfp8,Qwen3-32B,32,85.1
mxfp8,Qwen3-32B,64,92.4
mxfp8,Qwen3-32B,128,82.6
mxfp8,Qwen3-32B,256,39.8
mxfp8,Llama-3.1-8B-Instruct,8,31.2
mxfp8,Llama-3.1-8B-Instruct,16,71.6
mxfp8,Llama-3.1-8B-Instruct,32,84.7
mxfp8,Llama-3.1-8B-Instruct,64,91.7
mxfp8,Llama-3.1-8B-Instruct,128,37.6
mxfp8,Llama-3.1-8B-Instruct,256,4.3
mxfp8,Llama-3.3-70B-Instruct,8,96.3
mxfp8,Llama-3.3-70B-Instruct,16,84.1
mxfp8,Llama-3.3-70B-Instruct,32,72.6
mxfp8,Llama-3.3-70B-Instruct,64,104.2
mxfp8,Llama-3.3-70B-Instruct,128,88.7
mxfp8,Llama-3.3-70B-Instruct,256,37.7
